04/01/2021,04/11/2021,04/26/2021,05/06/2021,06/05/2021,06/10/2021,06/15/2021,Name
2,1,2,2,0,0,0,jw10
2,2,2,2,0,0,0,jw11
2,2,2,2,0,0,0,jw12
1,1,2,1,0,0,0,jw13
2,1,2,1,0,0,0,jw14
2,1,2,1,0,0,0,jw15
2,1,2,1,0,0,0,jw16
1,1,1,1,0,0,0,jw19
2,1,2,2,0,0,0,jw21
2,2,2,2,0,0,0,jw22
2,1,2,2,0,0,0,jw23
2,2,2,2,0,0,0,jw24
2,2,2,2,0,0,0,jw25
2,1,2,2,0,0,0,jw26
2,1,2,2,0,0,0,jw29
1,1,1,1,0,0,0,jw3
2,1,2,2,0,0,0,jw5
2,2,2,2,0,0,0,jw6
2,2,2,2,0,0,0,jw7
2,1,2,2,0,0,0,jw8
2,2,2,2,0,0,0,jw9
1,0,1,0,0,0,0,agb1
1,0,1,0,0,0,0,agb10
1,0,1,0,0,0,0,agb11
1,0,0,0,0,0,0,agb2
1,0,0,0,0,0,0,agb4
1,0,1,0,0,0,0,agb6
1,0,0,0,0,0,0,agb7
1,0,1,0,0,0,0,agb8
1,0,1,0,0,0,0,agb9
2,1,2,2,0,0,0,jw17
1,1,1,2,0,0,0,jw18
2,1,2,2,0,0,0,jw4
1,0,1,1,0,0,0,ag10
1,0,1,1,0,0,0,ag9
2,1,1,1,0,0,0,jw1
1,1,2,1,0,0,0,jw2
1,1,1,1,0,0,0,jw20
2,1,2,2,0,0,0,jw27
1,1,1,1,0,0,0,jw28
1,1,1,1,0,0,0,jw30
1,0,1,1,0,0,0,jw31
1,1,1,1,0,0,0,jw32
1,1,1,1,0,0,0,ag1
1,1,0,1,0,0,0,ag2
1,1,1,0,0,0,0,ag3
1,0,1,1,0,0,0,ag4
1,0,1,1,0,0,0,ag5
1,0,1,1,0,0,0,ag6
1,1,1,1,0,0,0,ag7
2,1,1,1,2,1,0,michigan
1,1,1,1,0,0,0,michiganditch
2,1,1,1,0,0,0,aspen
1,1,1,1,1,0,0,montgomery
2,2,2,2,0,0,0,joewright_burn
2,1,2,2,0,0,0,bl4
1,1,0,0,0,0,0,tunnel
0,0,0,0,0,0,0,tunnel
0,2,0,,0,0,0,dry
0,2,0,,0,0,0,dry
