Name,04/01/2021,04/11/2021,04/26/2021,05/06/2021,06/05/2021,06/10/2021,06/15/2021,06/20/2021
jw10,na,snow,na,na,na,na,na,na
jw11,na,snow,na,na,na,na,na,na
jw12,na,snow,na,na,na,na,na,na
jw13,na,snow,na,na,na,na,na,na
jw14,na,snow,na,na,na,na,na,na
jw15,na,snow,na,na,na,na,na,na
jw16,na,snow,na,na,na,na,na,na
jw19,na,snow,na,na,na,na,na,na
jw21,na,snow,na,na,na,na,na,na
jw22,na,snow,na,na,na,na,na,na
jw23,na,snow,na,na,na,na,na,na
jw24,na,snow,na,na,na,na,na,na
jw25,na,snow,na,na,na,na,na,na
jw26,na,snow,na,na,na,na,na,na
jw29,na,snow,na,na,na,na,na,na
jw3,na,snow,na,na,na,na,na,na
jw5,na,snow,na,na,na,na,na,na
jw6,na,snow,na,na,na,na,na,na
jw7,na,snow,na,na,na,na,na,na
jw8,na,snow,na,na,na,na,na,na
jw9,na,snow,na,na,na,na,na,na
agb1,na,nosnow,na,na,na,na,na,na
agb10,na,snow,na,na,na,na,na,na
agb11,na,nosnow,na,na,na,na,na,na
agb2,na,nosnow,na,na,na,na,na,na
agb4,na,nosnow,na,na,na,na,na,na
agb6,na,nosnow,na,na,na,na,na,na
agb7,na,snow,na,na,na,na,na,na
agb8,na,nosnow,na,na,na,na,na,na
agb9,na,snow,na,na,na,na,na,na
jw17,na,snow,na,na,na,na,na,na
jw18,na,snow,na,na,na,na,na,na
jw4,na,snow,na,na,na,na,na,na
ag10,na,snow,na,na,na,na,na,na
ag9,na,snow,na,na,na,na,na,na
jw1,na,snow,na,na,na,na,na,na
jw2,na,snow,na,na,na,na,na,na
jw20,na,snow,na,na,na,na,na,na
jw27,na,snow,na,na,na,na,na,na
jw28,na,snow,na,na,na,na,na,na
jw30,na,snow,na,na,na,na,na,na
jw31,na,snow,na,na,na,na,na,na
jw32,na,snow,na,na,na,na,na,na
ag1,na,snow,na,na,na,na,na,na
ag2,na,snow,na,na,na,na,na,na
ag3,na,snow,na,na,na,na,na,na
ag4,na,snow,na,na,na,na,na,na
ag5,na,snow,na,na,na,na,na,na
ag6,na,snow,na,na,na,na,na,na
ag7,na,snow,na,na,na,na,na,na
michiganditch,snow,snow,snow,snow,nosnow,nosnow,nosnow,nosnow
aspen,na,snow,snow,snow,nosnow,nosnow,nosnow,nosnow
montgomery,snow,snow,snow,snow,na,na,na,na
joewright_burn,snow,snow,snow,snow,nosnow,nosnow,nosnow,nosnow
bl4,na,na,na,na,na,na,na,na
tunnel,snow,nosnow,nosnow,nosnow,nosnow,nosnow,nosnow,nosnow
tunnel,nosnow,nosnow,nosnow,nosnow,nosnow,nosnow,nosnow,nosnow
dry,snow,nosnow,nosnow,nosnow,nosnow,nosnow,nosnow,nosnow
